"id","occupation"
0,"Other"
1,"Other"
2,"Other"
3,"Other"
4,"Nurse"
5,"Other"
6,"Nurse"
7,"Other"
8,"Nurse"
9,"Other"
10,"Nurse"
11,"Other"
12,"Other"
13,"Other"
14,"Other"
15,"Other"
16,"Other"
17,"Other"
18,"Other"
19,"Other"
20,"Other"
21,"Other"
22,"Other"
23,"Other"
24,"Other"
25,"Other"
26,"Other"
27,"Other"
28,"Other"
29,"Physician"
30,"Other"
31,"Other"
32,"Other"
33,"Physician"
34,"Nurse"
35,"Nurse"
36,"Other"
37,"Physician"
38,"Physician"
39,"Physician"
40,"Physician"
41,"Other"
42,"Nurse"
43,"Technologist"
44,"Technologist"
45,"Technologist"
46,"Other"
47,"Other"
48,"Other"
49,"Nurse"
50,"Nurse"
51,"Other"
52,"Nurse"
53,"Administration"
54,"Nurse"
55,"Other"
56,"Nurse"
57,"Clerk"
58,"Other"
59,"Other"
60,"Other"
61,"Clerk"
62,"Nurse"
63,"Technologist"
64,"Technologist"
65,"Physician"
66,"Nurse"
67,"Technologist"
68,"Nurse"
69,"Other"
70,"Other"
71,"Nurse"
72,"Nurse"
73,"Other"
74,"Nurse"
75,"Technologist"
76,"Administration"
77,"Nurse"
78,"Administration"
79,"Clerk"
80,"Administration"
81,"Administration"
82,"Administration"
83,"Physician"
84,"Clerk"
85,"Other"
86,"Physician"
87,"Nurse"
88,"Physician"
89,"Physician"
90,"Physician"
91,"Administration"
92,"Physician"
93,"Physician"
94,"Administration"
95,"Physician"
96,"Physician"
97,"Physician"
98,"Physician"
99,"Physician"
100,"Physician"
101,"Physician"
102,"Physician"
103,"Technologist"
104,"Technologist"
105,"Other"
106,"Physician"
107,"Physician"
108,"Physician"
109,"Nurse"
110,"Other"
111,"Nurse"
112,"Nurse"
113,"Physician"
114,"Nurse"
115,"Administration"
116,"Physician"
117,"Administration"
118,"Nurse"
119,"Administration"
120,"Clerk"
121,"Physician"
122,"Nurse"
123,"Clerk"
124,"Administration"
125,"Physician"
126,"Administration"
127,"Clerk"
128,"Administration"
129,"Nurse"
130,"Physician"
131,"Clerk"
132,"Administration"
133,"Technologist"
134,"Clerk"
135,"Researcher"
136,"Nurse"
137,"Nurse"
138,"Technologist"
139,"Nurse"
140,"Nurse"
141,"Physician"
142,"Physician"
143,"Other"
144,"Other"
145,"Administration"
146,"Clerk"
147,"Nurse"
148,"Nurse"
149,"Physician"
150,"Technologist"
151,"Technologist"
152,"Technologist"
153,"Technologist"
154,"Technologist"
155,"Administration"
156,"Administration"
157,"Clerk"
158,"Administration"
159,"Other"
160,"Technologist"
161,"Administration"
162,"Clerk"
163,"Nurse"
164,"Technologist"
165,"Technologist"
166,"Technologist"
167,"Clerk"
168,"Nurse"
169,"Nurse"
170,"Technologist"
171,"Technologist"
172,"Administration"
173,"Administration"
174,"Administration"
175,"Other"
176,"Other"
177,"Nurse"
178,"Researcher"
179,"Nurse"
180,"Nurse"
181,"Clerk"
182,"Administration"
183,"Administration"
184,"Administration"
185,"Nurse"
186,"Administration"
187,"Nurse"
188,"Nurse"
189,"Physician"
190,"Administration"
191,"Nurse"
192,"Physician"
193,"Nurse"
194,"Physician"
195,"Nurse"
196,"Nurse"
197,"Nurse"
198,"Nurse"
199,"Other"
200,"Nurse"
201,"Nurse"
202,"Other"
203,"Clerk"
204,"Physician"
205,"Physician"
206,"Physician"
207,"Physician"
208,"Nurse"
209,"Nurse"
210,"Nurse"
211,"Physician"
212,"Physician"
213,"Physician"
214,"Physician"
215,"Other"
216,"Physician"
217,"Clerk"
218,"Nurse"
219,"Nurse"
220,"Physician"
221,"Nurse"
222,"Clerk"
223,"Clerk"
224,"Other"
225,"Nurse"
226,"Nurse"
227,"Nurse"
228,"Nurse"
229,"Clerk"
230,"Administration"
231,"Nurse"
232,"Nurse"
233,"Clerk"
234,"Physician"
235,"Nurse"
236,"Clerk"
237,"Nurse"
238,"Nurse"
239,"Nurse"
240,"Nurse"
241,"Physician"
242,"Physician"
243,"Nurse"
244,"Nurse"
245,"Physician"
246,"Administration"
247,"Physician"
248,"Nurse"
249,"Physician"
250,"Physician"
251,"Nurse"
252,"Nurse"
253,"Nurse"
254,"Nurse"
255,"Nurse"
256,"Nurse"
257,"Nurse"
258,"Clerk"
259,"Nurse"
260,"Nurse"
261,"Nurse"
262,"Nurse"
263,"Physician"
264,"Clerk"
265,"Physician"
266,"Nurse"
267,"Nurse"
268,"Physician"
269,"Physician"
270,"Other"
271,"Administration"
272,"Physician"
273,"Physician"
274,"Other"
275,"Physician"
276,"Nurse"
277,"Nurse"
278,"Nurse"
279,"Nurse"
280,"Physician"
