"unit","category"
0,"Auxiliary rooms"
1,"Auxiliary rooms"
2,"Auxiliary rooms"
3,"Auxiliary rooms"
4,"Outpatient area"
5,"Auxiliary rooms"
6,"Auxiliary rooms"
7,"Outpatient area"
8,"Outpatient area"
9,"Outpatient area"
10,"Outpatient area"
11,"Inpatient area"
12,"Outpatient area"
13,"Outpatient area"
14,"Outpatient area"
15,"Public area"
16,"Medical-staff rooms"
17,"Outpatient area"
18,"Outpatient area"
19,"Outpatient area"
20,"Outpatient area"
21,"Outpatient area"
22,"Outpatient area"
23,"Public area"
24,"Public area"
25,"Outpatient area"
26,"Outpatient area"
27,"Public area"
28,"Public area"
29,"Outpatient area"
30,"Outpatient area"
31,"Other-staff rooms"
32,"Public area"
33,"Public area"
34,"Other-staff rooms"
35,"Public area"
36,"Outpatient area"
37,"Outpatient area"
38,"Outpatient area"
39,"Medical-staff rooms"
40,"Other-staff rooms"
41,"Outpatient area"
42,"Outpatient area"
43,"Outpatient area"
44,"Other-staff rooms"
45,"Outpatient area"
46,"Other-staff rooms"
47,"Outpatient area"
48,"Public area"
49,"Medical-staff rooms"
50,"Outpatient area"
51,"Inpatient area"
52,"Public area"
53,"Other-staff rooms"
54,"Outpatient area"
55,"Outpatient area"
56,"Outpatient area"
57,"Medical-staff rooms"
58,"Outpatient area"
59,"Other-staff rooms"
60,"Medical-staff rooms"
61,"Outpatient area"
62,"Other-staff rooms"
63,"Other-staff rooms"
64,"Public area"
65,"Outpatient area"
66,"Inpatient area"
67,"Inpatient area"
68,"Medical-staff rooms"
69,"Inpatient area"
70,"Inpatient area"
71,"Inpatient area"
72,"Inpatient area"
73,"Medical-staff rooms"
74,"Inpatient area"
75,"Inpatient area"
76,"Inpatient area"
77,"Inpatient area"
78,"Inpatient area"
79,"Inpatient area"
80,"Inpatient area"
81,"Inpatient area"
82,"Public area"
83,"Outpatient area"
84,"Outpatient area"
85,"Other-staff rooms"
86,"Outpatient area"
87,"Outpatient area"
88,"Public area"
89,"Outpatient area"
90,"Outpatient area"
91,"Outpatient area"
92,"Public area"
93,"Inpatient area"
94,"Inpatient area"
95,"Inpatient area"
96,"Medical-staff rooms"
97,"Outpatient area"
98,"Outpatient area"
99,"Outpatient area"
100,"Outpatient area"
101,"Outpatient area"
102,"Public area"
103,"Outpatient area"
104,"Outpatient area"
105,"Outpatient area"
106,"Inpatient area"
107,"Inpatient area"
108,"Outpatient area"
109,"Public area"
110,"Outpatient area"
111,"Outpatient area"
112,"Public area"
113,"Medical-staff rooms"
114,"Outpatient area"
115,"Inpatient area"
116,"Inpatient area"
117,"Inpatient area"
118,"Public area"
119,"Outpatient area"
120,"Other-staff rooms"
121,"Public area"
