"id","occupation"
0,"Other"
1,"Nurse"
2,"Technologist"
3,"Other"
4,"Other"
5,"Other"
6,"Other"
7,"Other"
8,"Clerk"
9,"Technologist"
10,"Nurse"
11,"Other"
12,"Other"
13,"Physician"
14,"Clerk"
15,"Nurse"
16,"Nurse"
17,"Physician"
18,"Other"
19,"Other"
20,"Technologist"
21,"Other"
22,"Other"
23,"Nurse"
24,"Nurse"
25,"Physician"
26,"Other"
27,"Physician"
28,"Other"
29,"Other"
30,"Other"
31,"Other"
32,"Nurse"
33,"Other"
34,"Clerk"
35,"Technologist"
36,"Physician"
37,"Physician"
38,"Clerk"
39,"Nurse"
40,"Clerk"
41,"Technologist"
42,"Technologist"
43,"Physician"
44,"Nurse"
45,"Physician"
46,"Physician"
47,"Nurse"
48,"Physician"
49,"Nurse"
50,"Nurse"
51,"Technologist"
52,"Nurse"
53,"Technologist"
54,"Nurse"
55,"Clerk"
56,"Nurse"
57,"Other"
58,"Nurse"
59,"Nurse"
60,"Nurse"
61,"Clerk"
62,"Other"
63,"Nurse"
64,"Clerk"
65,"Nurse"
66,"Other"
67,"Other"
68,"Nurse"
69,"Nurse"
70,"Nurse"
71,"Physician"
72,"Physician"
73,"Nurse"
74,"Physician"
75,"Technologist"
76,"Nurse"
77,"Technologist"
78,"Technologist"
79,"Nurse"
80,"Technologist"
81,"Technologist"
82,"Nurse"
83,"Nurse"
84,"Clerk"
85,"Nurse"
86,"Technologist"
87,"Physician"
88,"Nurse"
89,"Physician"
90,"Physician"
91,"Physician"
92,"Physician"
93,"Clerk"
94,"Physician"
95,"Nurse"
96,"Nurse"
97,"Nurse"
98,"Other"
99,"Physician"
100,"Nurse"
101,"Nurse"
102,"Nurse"
103,"Clerk"
104,"Nurse"
105,"Nurse"
106,"Nurse"
107,"Physician"
108,"Physician"
109,"Physician"
110,"Physician"
111,"Nurse"
112,"Nurse"
113,"Clerk"
114,"Clerk"
115,"Physician"
116,"Other"
117,"Nurse"
118,"Nurse"
119,"Nurse"
120,"Physician"
121,"Physician"
122,"Nurse"
123,"Clerk"
124,"Nurse"
125,"Nurse"
126,"Nurse"
127,"Other"
128,"Physician"
129,"Physician"
130,"Physician"
131,"Nurse"
132,"Physician"
133,"Technologist"
134,"Physician"
135,"Clerk"
136,"Nurse"
137,"Other"
138,"Other"
139,"Nurse"
140,"Other"
141,"Other"
142,"Nurse"
143,"Physician"
144,"Other"
145,"Physician"
146,"Physician"
147,"Physician"
148,"Physician"
149,"Physician"
150,"Physician"
151,"Physician"
152,"Physician"
153,"Physician"
154,"Physician"
155,"Technologist"
156,"Nurse"
157,"Other"
158,"Other"
159,"Physician"
160,"Physician"
161,"Physician"
162,"Other"
163,"Technologist"
164,"Nurse"
165,"Physician"
166,"Physician"
167,"Physician"
168,"Technologist"
169,"Physician"
170,"Physician"
171,"Physician"
172,"Physician"
173,"Nurse"
174,"Physician"
175,"Technologist"
176,"Physician"
177,"Physician"
178,"Other"
179,"Nurse"
180,"Nurse"
181,"Technologist"
182,"Nurse"
183,"Physician"
184,"Physician"
185,"Physician"
186,"Physician"
187,"Physician"
188,"Physician"
189,"Physician"
190,"Physician"
191,"Physician"
192,"Physician"
193,"Physician"
194,"Physician"
195,"Physician"
196,"Physician"
197,"Physician"
198,"Nurse"
199,"Other"
200,"Other"
201,"Other"
202,"Other"
203,"Other"
204,"Other"
205,"Other"
206,"Nurse"
207,"Other"
208,"Other"
209,"Other"
210,"Other"
211,"Other"
212,"Nurse"
213,"Other"
214,"Other"
215,"Other"
216,"Physician"
217,"Nurse"
218,"Nurse"
219,"Nurse"
220,"Nurse"
221,"Physician"
222,"Nurse"
223,"Other"
224,"Other"
225,"Other"
226,"Other"
227,"Other"
228,"Clerk"
229,"Clerk"
230,"Physician"
231,"Nurse"
232,"Physician"
233,"Nurse"
234,"Physician"
235,"Technologist"
236,"Nurse"
237,"Nurse"
238,"Nurse"
239,"Nurse"
240,"Clerk"
241,"Nurse"
242,"Nurse"
243,"Nurse"
244,"Nurse"
245,"Clerk"
246,"Nurse"
247,"Nurse"
248,"Nurse"
249,"Nurse"
250,"Clerk"
251,"Nurse"
252,"Nurse"
253,"Nurse"
254,"Technologist"
255,"Nurse"
256,"Nurse"
257,"Other"
258,"Nurse"
259,"Nurse"
260,"Nurse"
261,"Nurse"
262,"Nurse"
263,"Nurse"
264,"Nurse"
265,"Physician"
266,"Technologist"
267,"Nurse"
268,"Clerk"
269,"Nurse"
270,"Technologist"
271,"Nurse"
272,"Nurse"
273,"Technologist"
274,"Nurse"
275,"Nurse"
276,"Nurse"
277,"Technologist"
278,"Nurse"
279,"Nurse"
280,"Nurse"
281,"Nurse"
282,"Clerk"
283,"Nurse"
284,"Technologist"
285,"Technologist"
286,"Technologist"
287,"Technologist"
288,"Nurse"
289,"Nurse"
290,"Physician"
291,"Physician"
292,"Physician"
293,"Physician"
294,"Nurse"
295,"Physician"
296,"Nurse"
297,"Nurse"
298,"Physician"
299,"Nurse"
300,"Technologist"
301,"Physician"
302,"Clerk"
303,"Technologist"
304,"Physician"
305,"Nurse"
306,"Clerk"
307,"Nurse"
308,"Nurse"
309,"Nurse"
