"unit","category"
0,"Public area"
1,"Public area"
2,"Other-staff rooms"
3,"Public area"
4,"Public area"
5,"Public area"
6,"Other-staff rooms"
7,"Public area"
8,"Public area"
9,"Other-staff rooms"
10,"Medical-staff rooms"
11,"Public area"
12,"Medical-staff rooms"
13,"Medical-staff rooms"
14,"Public area"
15,"Public area"
16,"Medical-staff rooms"
17,"Medical-staff rooms"
18,"Medical-staff rooms"
19,"Outpatient area"
20,"Outpatient area"
21,"Inpatient area"
22,"Public area"
23,"Inpatient area"
24,"Outpatient area"
25,"Inpatient area"
26,"Inpatient area"
27,"Outpatient area"
28,"Outpatient area"
29,"Outpatient area"
30,"Outpatient area"
31,"Public area"
32,"Public area"
33,"Public area"
34,"Outpatient area"
35,"Outpatient area"
36,"Outpatient area"
37,"Outpatient area"
38,"Outpatient area"
39,"Outpatient area"
40,"Outpatient area"
41,"Outpatient area"
42,"Outpatient area"
43,"Public area"
44,"Public area"
45,"Public area"
46,"Public area"
47,"Inpatient area"
48,"Outpatient area"
49,"Inpatient area"
50,"Outpatient area"
51,"Outpatient area"
52,"Inpatient area"
53,"Outpatient area"
54,"Public area"
55,"Inpatient area"
56,"Outpatient area"
57,"Inpatient area"
58,"Outpatient area"
59,"Outpatient area"
60,"Outpatient area"
61,"Outpatient area"
62,"Other-staff rooms"
63,"Public area"
64,"Public area"
65,"Inpatient area"
66,"Outpatient area"
67,"Inpatient area"
68,"Inpatient area"
69,"Public area"
70,"Outpatient area"
71,"Public area"
72,"Other-staff rooms"
73,"Other-staff rooms"
74,"Medical-staff rooms"
75,"Outpatient area"
76,"Medical-staff rooms"
77,"Inpatient area"
78,"Medical-staff rooms"
79,"Other-staff rooms"
80,"Public area"
81,"Auxiliary rooms"
82,"Auxiliary rooms"
